"","City","Year","Latitude","Longitude","Coastal","Elevation","Temperature"
"1","Mobile, AL       ",1931,31.2,88.5,1,218,34.6940123312258
"2","Mobile, AL       ",1932,31.2,88.5,1,218,47.7668113935186
"3","Mobile, AL       ",1933,31.2,88.5,1,218,45.281885967028
"4","Mobile, AL       ",1934,31.2,88.5,1,218,31.2327550641138
"5","Mobile, AL       ",1935,31.2,88.5,1,218,37.2026710179628
"6","Mobile, AL       ",1936,31.2,88.5,1,218,35.1873752386192
"7","Mobile, AL       ",1937,31.2,88.5,1,218,32.2757813278134
"8","Mobile, AL       ",1938,31.2,88.5,1,218,32.4030477562778
"9","Mobile, AL       ",1939,31.2,88.5,1,218,33.088874437797
"10","Mobile, AL       ",1940,31.2,88.5,1,218,47.2135448591283
"11","Mobile, AL       ",1941,31.2,88.5,1,218,53.9020049671621
"12","Mobile, AL       ",1942,31.2,88.5,1,218,39.8471323347267
"13","Mobile, AL       ",1943,31.2,88.5,1,218,51.9532555071643
"14","Mobile, AL       ",1944,31.2,88.5,1,218,41.979041233972
"15","Mobile, AL       ",1945,31.2,88.5,1,218,47.1216188692848
"16","Mobile, AL       ",1946,31.2,88.5,1,218,57.1309437945656
"17","Mobile, AL       ",1947,31.2,88.5,1,218,47.7163830639635
"18","Mobile, AL       ",1948,31.2,88.5,1,218,47.0990875845647
"19","Mobile, AL       ",1949,31.2,88.5,1,218,52.1653367722288
"20","Mobile, AL       ",1950,31.2,88.5,1,218,53.4096142796447
"21","Mobile, AL       ",1951,31.2,88.5,1,218,41.9413237301381
"22","Mobile, AL       ",1952,31.2,88.5,1,218,43.8017881531972
"23","Mobile, AL       ",1953,31.2,88.5,1,218,32.4968361139605
"24","Mobile, AL       ",1954,31.2,88.5,1,218,43.2041016289616
"25","Mobile, AL       ",1955,31.2,88.5,1,218,35.5555804740646
"26","Mobile, AL       ",1956,31.2,88.5,1,218,34.3382980419038
"27","Mobile, AL       ",1957,31.2,88.5,1,218,35.7592770753735
"28","Mobile, AL       ",1958,31.2,88.5,1,218,31.2554801887578
"29","Mobile, AL       ",1959,31.2,88.5,1,218,55.2829624118467
"30","Mobile, AL       ",1960,31.2,88.5,1,218,44.1122020881174
"31","Montgomery, AL   ",1931,32.9,86.8,1,221,40.732398875998
"32","Montgomery, AL   ",1932,32.9,86.8,1,221,47.3990860121623
"33","Montgomery, AL   ",1933,32.9,86.8,1,221,30.5184796971274
"34","Montgomery, AL   ",1934,32.9,86.8,1,221,25.892542084288
"35","Montgomery, AL   ",1935,32.9,86.8,1,221,50.5988757101266
"36","Montgomery, AL   ",1936,32.9,86.8,1,221,28.4563852753923
"37","Montgomery, AL   ",1937,32.9,86.8,1,221,36.9125322958415
"38","Montgomery, AL   ",1938,32.9,86.8,1,221,46.984363166392
"39","Montgomery, AL   ",1939,32.9,86.8,1,221,25.8773343404439
"40","Montgomery, AL   ",1940,32.9,86.8,1,221,29.3556591930944
"41","Montgomery, AL   ",1941,32.9,86.8,1,221,27.1107528962859
"42","Montgomery, AL   ",1942,32.9,86.8,1,221,39.4118067498778
"43","Montgomery, AL   ",1943,32.9,86.8,1,221,51.0167385786082
